Chapter,Term,Definition,
Unit 6 - Developmental Psychology,Teratogens,"(literally, “monster maker”) agents, such as chemicals and viruses, that can reach the embryo or fetus during prenatal development and cause harm.",
Unit 6 - Developmental Psychology,Fetal alcohol syndrome; FAS,"physical and cognitive abnormalities in children caused by a pregnant woman’s heavy drinking. In severe cases, signs include a small, out-of-proportion head and abnormal facial features.",
Unit 6 - Developmental Psychology,Habituation,"decreasing responsiveness with repeated stimulation. As infants gain familiarity with repeated exposure to a stimulus, their interest wanes and they look away sooner.",
Unit 6 - Developmental Psychology,Maturation,"biological growth processes that enable orderly changes in behavior, relatively uninfluenced by experience.",
Unit 6 - Developmental Psychology,Cognition,"all the mental activities associated with thinking, knowing, remembering, and communicating.",
Unit 6 - Developmental Psychology,Schema,a concept or framework that organizes and interprets information.,
Unit 6 - Developmental Psychology,Assimilation,interpreting our new experiences in terms of our existing schemas.,
Unit 6 - Developmental Psychology,Accommodation,adapting our current understandings (schemas) to incorporate new information.,
Unit 6 - Developmental Psychology,Sensorimotor stage,"in Piaget’s theory, the stage (from birth to nearly 2 years of age) during which infants know the world mostly in terms of their sensory impressions and motor activities.",
Unit 6 - Developmental Psychology,Object permanence,the awareness that things continue to exist even when not perceived.,
Unit 6 - Developmental Psychology,Preoperational stage,"In Piaget’s theory, the stage (from about 2 to about 6 or 7 years of age) during which a child learns to use language but does not yet comprehend the mental operations of concrete logic.",
Unit 6 - Developmental Psychology,Conservation,"the principle (which Piaget believed to be a part of concrete operational reasoning) that properties such as mass, volume, and number remain the same despite changes in the forms of objects.",
Unit 6 - Developmental Psychology,Egocentrism,"In Piaget’s theory, the preoperational child’s difficulty taking another’s point of view.",
Unit 6 - Developmental Psychology,Theory of mind,"people’s ideas about their own and others’ mental states— about their feelings, perceptions, and thoughts, and the behaviors these might predict.",
Unit 6 - Developmental Psychology,Concrete operational stage,"in Piaget’s theory, the stage of cognitive development (from about 7 to 11 years of age) during which children gain the mental operations that enable them to think logically about concrete events.",
Unit 6 - Developmental Psychology,Formal operational stage,"in Piaget’s theory, the stage of cognitive development (normally beginning about age 12) during which people begin to think logically about abstract concepts.",
Unit 6 - Developmental Psychology,Autism spectrum disorder; ASD,"a disorder that appears in childhood and is marked by significant deficiencies in communication and social interaction, and by rigidly fixated interests and repetitive behaviors.",
Unit 6 - Developmental Psychology,Stranger anxiety,"the fear of strangers that infants commonly display, beginning by about 8 months of age.",
Unit 6 - Developmental Psychology,Attachment,an emotional tie with another person; shown in young children by their seeking closeness to the caregiver and showing distress on separation.,
Unit 6 - Developmental Psychology,Critical period,an optimal period early in the life of an organism when exposure to certain stimuli or experiences produces normal development.,
Unit 6 - Developmental Psychology,Imprinting,the process by which certain animals form strong attachments during early life.,
Unit 6 - Developmental Psychology,Basic trust,"according to Erik Erikson, a sense that the world is predictable and trustworthy; said to be formed during infancy by appropriate experiences with responsive caregivers.",
Unit 6 - Developmental Psychology,Self-concept,"all our thoughts and feelings about ourselves, in answer to the question, “Who am I?”",
Unit 6 - Developmental Psychology,Adolescence,"the transition period from childhood to adulthood, extending from puberty to independence.",
Unit 6 - Developmental Psychology,Puberty,"the period of sexual maturation, during which a person becomes capable of reproducing.",
Unit 6 - Developmental Psychology,Identity,"our sense of self; according to Erikson, the adolescent’s task is to solidify a sense of self by testing and integrating various roles.",
Unit 6 - Developmental Psychology,Social identity,the “we” aspect of our self-concept; the part of our answer to “Who am I?” that comes from our group memberships.,
Unit 6 - Developmental Psychology,Intimacy,"In Erikson’s theory, the ability to form close, loving relationships; a primary developmental task in young adulthood.",
Unit 6 - Developmental Psychology,Emerging adulthood,"a period from about age 18 to the mid-twenties, when many in Western cultures are no longer adolescents but have not yet achieved full independence as adults.",
Unit 6 - Developmental Psychology,Menopause,the time of natural cessation of menstruation; also refers to the biological changes a woman experiences as her ability to reproduce declines.,
Unit 6 - Developmental Psychology,Cross-sectional study; cross-sectional,a study in which people of different ages are compared with one another.,
Unit 6 - Developmental Psychology,Longitudinal study; longitudinal,research in which the same people are restudied and retested over a long period.,
Unit 6 - Developmental Psychology,Neurocognitive disorders; NCDs,"acquired (not lifelong) disorders marked by cognitive deficits; often related to Alzheimer’s disease, brain injury or disease, or substance abuse. In older adults neurocognitive disorders were formerly called dementia.",
Unit 6 - Developmental Psychology,Alzheimer’s disease; Alzheimer,"a neurocognitive disorder marked by neural plaques, often with an onset after age 80, and entailing a progressive decline in memory and other cognitive abilities.",
Unit 6 - Developmental Psychology,Social clock,"the culturally preferred timing of social events such as marriage, parenthood, and retirement.",
"Unit 7 - Motivation, Emotion, and Personality",Motivation,a need or desire that energizes and directs behavior.,
"Unit 7 - Motivation, Emotion, and Personality",Instinct,a complex behavior that is rigidly patterned throughout a species and is unlearned.,
"Unit 7 - Motivation, Emotion, and Personality",Drive-reduction theory; drive-reduction,the idea that a physiological need creates an aroused tension state (a drive) that motivates an organism to satisfy the need.,
"Unit 7 - Motivation, Emotion, and Personality",Homeostasis,"a tendency to maintain a balanced or constant internal state; the regulation of any aspect of body chemistry, such as blood glucose, around a particular level.",
"Unit 7 - Motivation, Emotion, and Personality",Incentive,a positive or negative environmental stimulus that motivates behavior.,
"Unit 7 - Motivation, Emotion, and Personality",Yerkes-Dodson law; Yerkes-Dodson,"the principle that performance increases with arousal only up to a point, beyond which performance decreases.",
"Unit 7 - Motivation, Emotion, and Personality",Hierarchy of needs,"Maslow’s pyramid of human needs, beginning at the base with physiological needs that must first be satisfied before higher-level safety needs and then psychological needs become active.",
"Unit 7 - Motivation, Emotion, and Personality",Glucose,"the form of sugar that circulates in the blood and provides the major source of energy for body tissues. When its level is low, we feel hunger.",
"Unit 7 - Motivation, Emotion, and Personality",Set point,"the point at which your “weight thermostat” is supposedly set. When your body falls below this weight, increased hunger and a lowered metabolic rate may combine to restore the lost weight.",
"Unit 7 - Motivation, Emotion, and Personality",Basal metabolic rate; BMR,The body’s resting rate of energy expenditure.,
"Unit 7 - Motivation, Emotion, and Personality",asexual,having no sexual attraction to others.,
"Unit 7 - Motivation, Emotion, and Personality",testosterone,"the most important of the male sex hormones. Both males and females have it, but the additional testosterone in males stimulates the growth of the male sex organs during the fetal period, and the development of the male sex characteristics during puberty.",
"Unit 7 - Motivation, Emotion, and Personality",estrogens,"sex hormones, such as estradiol, secreted in greater amounts by females than by males and contributing to female sex characteristics. In nonhuman female mammals, estrogen levels peak during ovulation, promoting sexual receptivity.",
"Unit 7 - Motivation, Emotion, and Personality",sexual response cycle,"the four stages of sexual responding described by Masters and Johnson—excitement, plateau, orgasm, and resolution.",
"Unit 7 - Motivation, Emotion, and Personality",refractory period,"a resting period after orgasm, during which a man cannot achieve another orgasm.",
"Unit 7 - Motivation, Emotion, and Personality",sexual dysfunction,a problem that consistently impairs sexual arousal or functioning.,
"Unit 7 - Motivation, Emotion, and Personality",erectile disorder,nability to develop or maintain an erection due to insufficient bloodflow to the penis.,
"Unit 7 - Motivation, Emotion, and Personality",female orgasmic disorder,distress due to infrequently or never experiencing orgasm.,
"Unit 7 - Motivation, Emotion, and Personality",paraphilias,"sexual arousal from fantasies, behaviors, or urges involving nonhuman objects, the suffering of self or others, and/or nonconsenting persons.",
"Unit 7 - Motivation, Emotion, and Personality",AIDS (acquired immune deficiency syndrome) ,"a life-threatening, sexually transmitted infection caused by the human immunodeficiency virus (HIV). AIDS depletes the immune system, leaving the person vulnerable to infections.",
"Unit 7 - Motivation, Emotion, and Personality",sexual orientation,"an enduring sexual attraction toward members of one’s own sex (homosexual orientation), the other sex (heterosexual orientation), or both sexes (bisexual orientation).",
"Unit 7 - Motivation, Emotion, and Personality",affiliation need,the need to build relationships and to feel part of a group.,
"Unit 7 - Motivation, Emotion, and Personality",ostracism,deliberate social exclusion of individuals or groups.,
"Unit 7 - Motivation, Emotion, and Personality",narcissism,excessive self-love and self-absorption.,
"Unit 7 - Motivation, Emotion, and Personality",achievement motivation,a desire for significant accomplishment; for mastery of skills or ideas; for control; and for attaining a high standard.,
"Unit 7 - Motivation, Emotion, and Personality",grit,"in psychology, passion and perseverance in the pursuit of long-term goals.",
"Unit 7 - Motivation, Emotion, and Personality",emotion,"a response of the whole organism, involving (1) physiological arousal, (2) expressive behaviors, and (3) conscious experience.",
"Unit 7 - Motivation, Emotion, and Personality",James-Lange theory,the theory that our experience of emotion is our awareness of our physiological responses to emotion-arousing stimuli.,
"Unit 7 - Motivation, Emotion, and Personality",Cannon-Bard theory,the theory that an emotion-arousing stimulus simultaneously triggers (1) physiological responses and (2) the subjective experience of emotion.,
"Unit 7 - Motivation, Emotion, and Personality",two-factor theory,the theory that to experience emotion one must (1) be physically aroused and (2) cognitively label the arousal.,SchachterSinger 
"Unit 7 - Motivation, Emotion, and Personality",facial feedback effect,"the tendency of facial muscle states to trigger corresponding feelings such as fear, anger, or happiness.",
"Unit 7 - Motivation, Emotion, and Personality",behavior feedback effect," the tendency of behavior to influence our own and others’ thoughts, feelings, and actions.",
"Unit 7 - Motivation, Emotion, and Personality",catharsis,"emotional release. In psychology, the catharsis hypothesis maintains that “releasing” aggressive energy (through action or fantasy) relieves aggressive urges.",
"Unit 7 - Motivation, Emotion, and Personality","feel-good, do -good phenomenon",people’s tendency to be helpful when already in a good mood.,
"Unit 7 - Motivation, Emotion, and Personality",positive psychology,"the scientific study of human flourishing, with the goals of discovering and promoting strengths and virtues that help individuals and communities to thrive.",
"Unit 7 - Motivation, Emotion, and Personality",subjective well-being,"self-perceived happiness or satisfaction with life. Used along with measures of objective well-being (for example, physical and economic indicators) to evaluate people’s quality of life.",
"Unit 7 - Motivation, Emotion, and Personality",adaptation-level phenomenon,"our tendency to form judgments (of sounds, of lights, of income) relative to a neutral level defined by our prior experience.",
"Unit 7 - Motivation, Emotion, and Personality",Stress,"the process by which we perceive and respond to certain events, called stressors, that we appraise as threatening or challenging.",
"Unit 7 - Motivation, Emotion, and Personality",general adaptation syndrome (GAS),"Selye’s concept of the body’s adaptive response to stress in three phases—alarm, resistance, exhaustion.",
"Unit 7 - Motivation, Emotion, and Personality",tend and befriend,"under stress, people (especially women) often provide support to others (tend) and bond with and seek support from others (befriend).",
"Unit 7 - Motivation, Emotion, and Personality",health psychology,a subfield of psychology that provides psychology’s contribution to behavioral medicine.,
"Unit 7 - Motivation, Emotion, and Personality",psychoneuroimmunology,"the study of how psychological, neural, and endocrine processes together affect the immune system and resulting health.",
"Unit 7 - Motivation, Emotion, and Personality",coronary heart disease,the clogging of the vessels that nourish the heart muscle; the leading cause of death in many developed countries.,
"Unit 7 - Motivation, Emotion, and Personality",Type A,"Friedman and Rosenman’s term for competitive, hard-driving, impatient, verbally aggressive, and anger-prone people.",
"Unit 7 - Motivation, Emotion, and Personality",Type B,"Friedman and Rosenman’s term for easygoing, relaxed people.",
"Unit 7 - Motivation, Emotion, and Personality",coping,"alleviating stress using emotional, cognitive, or behavioral methods.",
"Unit 7 - Motivation, Emotion, and Personality",problem-focused coping,attempting to alleviate stress directly—by changing the stressor or the way we interact with that stressor.,
"Unit 7 - Motivation, Emotion, and Personality",emotion-focused coping,attempting to alleviate stress by avoiding or ignoring a stressor and attending to emotional needs related to our stress reaction.,
"Unit 7 - Motivation, Emotion, and Personality",learned helplessness,the hopelessness and passive resignation an animal or human learns when unable to avoid repeated aversive events.,
"Unit 7 - Motivation, Emotion, and Personality",external locus of control,the perception that chance or outside forces beyond our personal control determine our fate.,
"Unit 7 - Motivation, Emotion, and Personality",internal locus of control ,the perception that we control our own fate.,
"Unit 7 - Motivation, Emotion, and Personality",self-control,the ability to control impulses and delay short-term gratification for greater long-term rewards.,
"Unit 7 - Motivation, Emotion, and Personality",aerobic exercise,sustained exercise that increases heart and lung fitness; may also alleviate depression and anxiety.,
"Unit 7 - Motivation, Emotion, and Personality",personality,"an individual’s characteristic pattern of thinking, feeling, and acting.",
"Unit 7 - Motivation, Emotion, and Personality",psychodynamic theories,view personality with a focus on the unconscious and the importance of childhood experiences.,
"Unit 7 - Motivation, Emotion, and Personality",psychoanalysis,Freud’s theory of personality that attributes thoughts and actions to unconscious motives and conflicts; the techniques used in treating psychological disorders by seeking to expose and interpret unconscious tensions.,
"Unit 7 - Motivation, Emotion, and Personality",unconscious,"according to Freud, a reservoir of mostly unacceptable thoughts, wishes, feelings, and memories. According to contemporary psychologists, information processing of which we are unaware.",
"Unit 7 - Motivation, Emotion, and Personality",Free association,"in psychoanalysis, a method of exploring the unconscious in which the person relaxes and says whatever comes to mind, no matter how trivial or embarrassing.",
"Unit 7 - Motivation, Emotion, and Personality",Id,"a reservoir of unconscious psychic energy that, according to Freud, strives to satisfy basic sexual and aggressive drives. The id operates on the pleasure principle, demanding immediate gratification.",
"Unit 7 - Motivation, Emotion, and Personality",Ego,"the largely conscious, “executive” part of personality that, according to Freud, mediates among the demands of the id, superego, and reality. The ego operates on the reality principle, satisfying the id’s desires in ways that will realistically bring pleasure rather than pain.",
"Unit 7 - Motivation, Emotion, and Personality",Superego,"the part of personality that, according to Freud, represents internalized ideals and provides standards for judgment (the conscience) and for future aspirations.",
"Unit 7 - Motivation, Emotion, and Personality",psychosexual stages,"the childhood stages of development (oral, anal, phallic, latency, genital) during which, according to Freud, the id’s pleasure-seeking energies focus on distinct erogenous zones.",
"Unit 7 - Motivation, Emotion, and Personality",Oedipus complex,"according to Freud, a boy’s sexual desires toward his mother and feelings of jealousy and hatred for the rival father.",
"Unit 7 - Motivation, Emotion, and Personality",identification,"the process by which, according to Freud, children incorporate their parents’ values into their developing superegos.",
"Unit 7 - Motivation, Emotion, and Personality",fixation,"according to Freud, a lingering focus of pleasure-seeking energies at an earlier psychosexual stage, in which conflicts were unresolved.",
"Unit 7 - Motivation, Emotion, and Personality",defense mechanisms,"in psychoanalytic theory, the ego’s protective methods of reducing anxiety by unconsciously distorting reality.",
"Unit 7 - Motivation, Emotion, and Personality",repression,"in psychoanalytic theory, the basic defense mechanism that banishes from consciousness anxiety-arousing thoughts, feelings, and memories.",
"Unit 7 - Motivation, Emotion, and Personality",collective unconscious,"Carl Jung’s concept of a shared, inherited reservoir of memory traces from our species’ history.",
"Unit 7 - Motivation, Emotion, and Personality",projective test,"a personality test, such as the Rorschach, that provides ambiguous stimuli designed to trigger projection of one’s inner dynamics.",
"Unit 7 - Motivation, Emotion, and Personality",Thematic Apperception Test (TAT),a projective test in which people express their inner feelings and interests through the stories they make up about ambiguous scenes.,
"Unit 7 - Motivation, Emotion, and Personality",Rorschach inkblot test,"the most widely used projective test, a set of 10 inkblots, designed by Hermann Rorschach; seeks to identify people’s inner feelings by analyzing their interpretations of the blots.",
"Unit 7 - Motivation, Emotion, and Personality",terror-management theory,a theory of death-related anxiety; explores people’s emotional and behavioral responses to reminders of their impending death.,
"Unit 7 - Motivation, Emotion, and Personality",humanistic theories,view personality with a focus on the potential for healthy personal growth.,
"Unit 7 - Motivation, Emotion, and Personality",self-actualization,"according to Maslow, one of the ultimate psychological needs that arises after basic physical and psychological needs are met and self-esteem is achieved; the motivation to fulfill one’s potential.",
"Unit 7 - Motivation, Emotion, and Personality",unconditional positive regard,"according to Rogers, an attitude of total acceptance toward another person.",
"Unit 7 - Motivation, Emotion, and Personality",self-concept,"all our thoughts and feelings about ourselves, in answer to the question, “Who am I?”",
"Unit 7 - Motivation, Emotion, and Personality",Trait,"a characteristic pattern of behavior or a disposition to feel and act, as assessed by self-report inventories and peer reports.",
"Unit 7 - Motivation, Emotion, and Personality",personality inventory,a questionnaire (often with true-false or agree-disagree items) on which people respond to items designed to gauge a wide range of feelings and behaviors; used to assess selected personality traits.,
"Unit 7 - Motivation, Emotion, and Personality",Minnesota Multiphasic Personality Inventory (MMPI),"the most widely researched and clinically used of all personality tests. Originally developed to identify emotional disorders (still considered its most appropriate use), this test is now used for many other screening purposes.",
"Unit 7 - Motivation, Emotion, and Personality",empirically derived test,a test (such as the MMPI) developed by testing a pool of items and then selecting those that discriminate between groups.,
"Unit 7 - Motivation, Emotion, and Personality",social-cognitive perspective,views behavior as influenced by the interaction between people’s traits (including their thinking) and their social context.,
"Unit 7 - Motivation, Emotion, and Personality",reciprocal determinism,"the interacting influences of behavior, internal cognition, and environment.",
"Unit 7 - Motivation, Emotion, and Personality",self,"in contemporary psychology, assumed to be the center of personality, the organizer of our thoughts, feelings, and actions.",
"Unit 7 - Motivation, Emotion, and Personality",spotlight effect,"overestimating others’ noticing and evaluating our appearance, performance, and blunders (as if we presume a spotlight shines on us).",
"Unit 7 - Motivation, Emotion, and Personality",self-esteem,one’s feelings of high or low self- worth.,
"Unit 7 - Motivation, Emotion, and Personality",self-efficacy,one’s sense of competence and effectiveness.,
"Unit 7 - Motivation, Emotion, and Personality",self-serving bias,a readiness to perceive oneself favorably.,
"Unit 7 - Motivation, Emotion, and Personality",narcissism,excessive self-love and self-absorption.,
Unit 8 - Clinical Psychology,psychological disorder,"a syndrome marked by a clinically significant disturbance in an individual’s cognition, emotion regulation, or behavior.",
Unit 8 - Clinical Psychology,medical model,"the concept that diseases, in this case psychological disorders, have physical causes that can be diagnosed, treated, and, in most cases, cured, often through treatment in a hospital.",
Unit 8 - Clinical Psychology,epigenetics,the study of environmental influences on gene expression that occur without a DNA change.,
Unit 8 - Clinical Psychology,DSM-5,"the American Psychiatric Association’s Diagnostic and Statistical Manual of Mental Disorders, Fifth Edition; a widely used system for classifying psychological disorders.",
Unit 8 - Clinical Psychology,Attention-deficit/hyperactivity disorder; ADHD,a psychological disorder marked by extreme inattention and/or hyperactivity and impulsivity.,
Unit 8 - Clinical Psychology,Anxiety disorders,"psychological disorders characterized by distressing, persistent anxiety or maladaptive behaviors that reduce anxiety.",
Unit 8 - Clinical Psychology,Generalized anxiety disorder; GAD,"an anxiety disorder in which a person is continually tense, apprehensive, and in a state of autonomic nervous system arousal.",
Unit 8 - Clinical Psychology,Panic disorder,"an anxiety disorder marked by unpredictable, minutes-long episodes of intense dread in which a person experiences terror and accompanying chest pain, choking, or other frightening sensations. Often followed by worry over a possible next attack.",
Unit 8 - Clinical Psychology,Phobia,"an anxiety disorder marked by a persistent, irrational fear and avoidance of a specific object, activity, or situation.",
Unit 8 - Clinical Psychology,Obsessive-compulsive disorder; OCD,"a disorder characterized by unwanted repetitive thoughts (obsessions), actions (compulsions), or both.",
Unit 8 - Clinical Psychology,posttraumatic stress disorder (PTSD) ,"a disorder characterized by haunting memories, nightmares, social withdrawal, jumpy anxiety, numbness of feeling, and/or insomnia that lingers for four weeks or more after a traumatic experience.",
Unit 8 - Clinical Psychology,major depressive disorder,"a disorder in which a person experiences, in the absence of drugs or another medical condition, two or more weeks with five or more symptoms, at least one of which must be either (1) depressed mood or (2) loss of interest or pleasure.",
Unit 8 - Clinical Psychology,mania,"a hyperactive, wildly optimistic state in which dangerously poor judgment is common.",
Unit 8 - Clinical Psychology,bipolar disorder,a disorder in which a person alternates between the hopelessness and lethargy of depression and the overexcited state of mania. (Formerly called manic-depressive disorder.),
Unit 8 - Clinical Psychology,rumination,compulsive fretting; overthinking about our problems and their causes.,
Unit 8 - Clinical Psychology,schizophrenia,"a psychological disorder characterized by delusions, hallucinations, disorganized speech, and/ or diminished, inappropriate emotional expression.",
Unit 8 - Clinical Psychology,delusion,"a false belief, often of persecution or grandeur, that may accompany psychotic disorders.",
Unit 8 - Clinical Psychology,chronic schizophrenia; process schizophrenia,"A form of schizophrenia in which symptoms usually appear by late adolescence or early adulthood. As people age, psychotic episodes last longer and recovery periods shorten.",
Unit 8 - Clinical Psychology,acute schizophrenia; reactive schizophrenia,"a form of schizophrenia that can begin at any age, frequently occurs in response to an emotionally traumatic event, and has extended recovery periods.",
Unit 8 - Clinical Psychology,dissociative disorders,"controversial, rare disorders in which conscious awareness becomes separated (dissociated) from previous memories, thoughts, and feelings.",
Unit 8 - Clinical Psychology,dissociative identity disorder; DID,a rare dissociative disorder in which a person exhibits two or more distinct and alternating personalities. Formerly called multiple personality disorder.,
Unit 8 - Clinical Psychology,personality disorders,inflexible and enduring behavior patterns that impair social functioning.,
Unit 8 - Clinical Psychology,antisocial personality disorder,"a personality disorder in which a person (usually a man) exhibits a lack of conscience for wrongdoing, even toward friends and family members; may be aggressive and ruthless or a clever con artist.",
Unit 8 - Clinical Psychology,anorexia nervosa; anorexia,an eating disorder in which a person (usually an adolescent female) maintains a starvation diet despite being significantly underweight; sometimes accompanied by excessive exercise.,
Unit 8 - Clinical Psychology,bulimia nervosa; bulimia,an eating disorder in which a person alternates binge eating (usually of high-calorie foods) with purging (by vomiting or laxative use) or fasting.,
Unit 8 - Clinical Psychology,binge-eating disorder; binge-eating,"significant binge-eating episodes, followed by distress, disgust, or guilt, but without the compensatory purging or fasting that marks bulimia nervosa.",
Unit 8 - Clinical Psychology,psychotherapy,treatment involving psychological techniques; consists of interactions between a trained therapist and someone seeking to overcome psy chological difficulties or achieve personal growth.,
Unit 8 - Clinical Psychology,biomedical therapy,prescribed medi cations or procedures that act directly on the person’s physiology.,
Unit 8 - Clinical Psychology,eclectic approach,an approach to psychotherapy that uses techniques from various forms of therapy.,
Unit 8 - Clinical Psychology,psychoanalysis,"Sigmund Freud’s therapeutic technique. Freud believed the patient’s free associations, resistances, dreams, and transferences—and the ther apist’s interpretations of them—released previously repressed feelings, allowing the patient to gain self insight.",
Unit 8 - Clinical Psychology,resistance,"in psychoanalysis, the block ing from consciousness of anxiety laden material.",
Unit 8 - Clinical Psychology,interpretation,"in psychoanalysis, the analyst’s noting supposed dream mean ings, resistances, and other significant behaviors and events in order to promote insight.",
Unit 8 - Clinical Psychology,transference,"in psychoanalysis, the pa tient’s transfer to the analyst of emotions linked with other relationships (such as love or hatred for a parent).",
Unit 8 - Clinical Psychology,psychodynamic therapy,"therapy deriving from the psychoanalytic tradi tion; views individuals as responding to unconscious forces and childhood experiences, and seeks to enhance self insight.",
Unit 8 - Clinical Psychology,insight therapies,a variety of thera pies that aim to improve psychological functioning by increasing a person’s awareness of underlying motives and defenses.,
Unit 8 - Clinical Psychology,client-centered therapy,"a humanistic therapy, developed by Carl Rogers, in which the therapist uses techniques such as active listening within a genuine, accepting, empathic environment to facilitate clients’ growth. (Also called person-centered therapy.)",
Unit 8 - Clinical Psychology,active listening,"empathic listening in which the listener echoes, restates, and clarifies. A feature of Rogers’ client centered therapy.",
Unit 8 - Clinical Psychology,unconditional positive regard,"a caring, accepting, nonjudgmental at titude, which Carl Rogers believed would help clients develop self awareness and self acceptance.",
Unit 8 - Clinical Psychology,behavior therapy,therapy that applies learning principles to the elimination of unwanted behaviors.,
Unit 8 - Clinical Psychology,counterconditioning,behavior therapy procedures that use classical condition ing to evoke new responses to stimuli that are triggering unwanted behaviors; include exposure therapies and aversive conditioning.,
Unit 8 - Clinical Psychology,exposure therapies,"behavioral techniques, such as systematic desensitization and virtual reality exposure therapy, that treat anxieties by exposing people (in imagination or actual situations) to the things they fear and avoid.",
Unit 8 - Clinical Psychology,systematic desensitization,a type of exposure therapy that associates a pleasant relaxed state with gradually increasing anxiety triggering stimuli. Commonly used to treat phobias.,
Unit 8 - Clinical Psychology,virtual reality exposure therapy,"an anxiety treatment that progressively exposes people to electronic simulations of their greatest fears, such as airplane flying, spiders, or public speaking.",
Unit 8 - Clinical Psychology,aversive conditioning,a type of counterconditioning that associates an unpleasant state (such as nausea) with an unwanted behavior (such as drinking alcohol).,
Unit 8 - Clinical Psychology,token economy,an operant condition ing procedure in which people earn a token of some sort for exhibiting a desired behavior and can later exchange their tokens for various privileges or treats.,
Unit 8 - Clinical Psychology,cognitive therapy,"therapy that teaches people new, more adaptive ways of thinking; based on the assumption that thoughts intervene between events and our emotional reactions.",
Unit 8 - Clinical Psychology,cognitive-behavioral therapy (CBT),a popular integrative therapy that combines cognitive therapy (changing self defeating thinking) with behavior therapy (changing behavior).,
Unit 8 - Clinical Psychology,group therapy,"therapy conducted with groups rather than individuals, permit ting therapeutic benefits from group interaction.",
Unit 8 - Clinical Psychology,family therapy,"therapy that treats the family as a system. Views an individual’s unwanted behaviors as influenced by, or directed at, other family members.",
Unit 8 - Clinical Psychology,meta-analysis,a procedure for statistically combining the results of many different research studies.,
Unit 8 - Clinical Psychology,evidence-based practice,clinical decision making that integrates the best available research with clinical expertise and patient characteristics and preferences.,
Unit 8 - Clinical Psychology,therapeutic alliance,"a bond of trust and mutual understanding between a therapist and client, who work together constructively to overcome the client’s problem.",
Unit 8 - Clinical Psychology,psychopharmacology,the study of the effects of drugs on mind and behavior.,
Unit 8 - Clinical Psychology,antipsychotic drugs,drugs used to treat schizophrenia and other forms of severe thought disorder.,
Unit 8 - Clinical Psychology,antianxiety drugs,drugs used to control anxiety and agitation.,
Unit 8 - Clinical Psychology,antidepressant drugs,"drugs used to treat depression, anxiety disorders, obsessive compulsive disorder, and post traumatic stress disorder. (Several widely used antidepressant drugs are selective serotonin reuptake inhibitors—SSRIs.)",
Unit 8 - Clinical Psychology,electroconvulsive therapy; ECT,a biomedical therapy for severely depressed patients in which a brief electric current is sent through the brain of an anesthetized patient.,
Unit 8 - Clinical Psychology,repetitive transcranial magnetic stimulation; rTMS,the application of repeated pulses of magnetic energy to the brain; used to stimulate or suppress brain activity.,
Unit 8 - Clinical Psychology,psychosurgery,surgery that removes or destroys brain tissue in an effort to change behavior.,
Unit 8 - Clinical Psychology,lobotomy,a psychosurgical procedure once used to calm uncontrollably emo tional or violent patients. The procedure cut the nerves connecting the frontal lobes to the emotion controlling centers of the inner brain.,
Unit 8 - Clinical Psychology,resilience,the personal strength that helps most people cope with stress and recover from adversity and even trauma.,
Unit 8 - Clinical Psychology,posttraumatic growth,positive psychological changes as a result of struggling with extremely challenging circumstances and life crises.,
Unit 9 - Social Psychology,social psychology,"the scientific study of how we think about, influence, and relate to one another.",
Unit 9 - Social Psychology,attribution theory,the theory that we explain someone’s behavior by crediting either the situation or the person’s disposition.,
Unit 9 - Social Psychology,fundamental attribution error,"the tendency for observers, when analyzing others’ behavior, to underestimate the impact of the situation and to overestimate the impact of personal disposition.",
Unit 9 - Social Psychology,attitude,"feelings, often influenced by our beliefs, that predispose us to respond in a particular way to objects, people, and events.",
Unit 9 - Social Psychology,peripheral route persuasion,"occurs when people are influenced by incidental cues, such as a speaker’s attractiveness.",
Unit 9 - Social Psychology,central route persuasion ,occurs when interested people focus on the arguments and respond with favorable thoughts.,
Unit 9 - Social Psychology,foot-in-the-door phenomenon; foot-in-the-door,the tendency for people who have first agreed to a small request to comply later with a larger request.,
Unit 9 - Social Psychology,role,"a set of expectations (norms) about a social position, defining how those in the position ought to behave.",
Unit 9 - Social Psychology,cognitive dissonance theory; cognitive dissonance,"the theory that we act to reduce the discomfort (dissonance) we feel when two of our thoughts (cognitions) are inconsistent. For example, when we become aware that our attitudes and our actions clash, we can reduce the resulting dissonance by changing our attitudes.",
Unit 9 - Social Psychology,conformity,adjusting our behavior or thinking to coincide with a group standard.,
Unit 9 - Social Psychology,normative social influence,influence resulting from a person’s desire to gain approval or avoid disapproval.,
Unit 9 - Social Psychology,informational social influence,influence resulting from one’s willingness to accept others’ opinions about reality.,
Unit 9 - Social Psychology,social facilitation,improved performance on simple or well-learned tasks in the presence of others.,
Unit 9 - Social Psychology,social loafing,the tendency for people in a group to exert less effort when pooling their efforts toward attaining a common goal than when individually accountable.,
Unit 9 - Social Psychology,deindividuation,the loss of selfawareness and self-restraint occurring in group situations that foster arousal and anonymity.,
Unit 9 - Social Psychology,group polarization,the enhancement of a group’s prevailing inclinations through discussion within the group.,
Unit 9 - Social Psychology,groupthink,the mode of thinking that occurs when the desire for harmony in a decision-making group overrides a realistic appraisal of alternatives.,
Unit 9 - Social Psychology,prejudice,"an unjustifiable (and usually negative) attitude toward a group and its members. Prejudice generally involves stereotyped beliefs, negative feelings, and a predisposition to discriminatory action.",
