Unit,Category,Term,Definition
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Qing dynasty,"Ruled China from 1644-1912, was one of the longest-lasting dynasties in Chinese history. It began as the Manchu-led Qing Empire and is known for its rich culture and art, including the famous Terracotta Army."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Pico della Mirandola,"An Italian philosopher, statesman, poet, and religious leader from the High Renaissance period who championed humanism, individualism, and the potential of humanity. He is often considered as a precursor to the scientific revolution and modern democracy."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Prince Henry the Navigator,"A 15th-century prince of Portugal who sponsored explorations and advancements in cartography, contributing to the discovery of new lands and knowledge expansion."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Rabban Sauma,"A monk and teacher of Indian Buddhism who traveled throughout Asia, spreading knowledge about his beliefs. He is considered an important figure in the spread of Buddhism."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Renaissance,"Spread from Italy. An era of rebirth, cultural, artistic, political, and intellectual growth in which there was a rediscovery of classical antiquity."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Sharia,"A set of Islamic laws that governs personal and social behavior, based on the Quran and the Sunnah of Prophet Muhammad."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Slave trade,Global commerce of human beings as forced labor or property.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Tsar,An autocratic ruler of Russia from the 18th century through much of the 19th.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Yongle,The 14th century Chinese emperor who built the largest-ever brick wall along China's borders.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 9: Expanding Horizons of Cross-Cultural Interaction,Zheng He,"A Chinese explorer who led several voyages of discovery and trade between 1405 and 1433, making him one of the most famous navigators in history."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Afonso d'Alboquerque,"A Portuguese nobleman who became the first Marquis of Valadares in 1536, and is known for his patronage of art and literature."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Astrolabe,"A navigational instrument used to determine latitude, longitude and time, typically based on celestial observations such as the position of the sun or stars. It was widely used by sailors before modern GPS technology."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Bartolomeu Dias,"A Portuguese explorer who is credited with being the first European to reach Africa, reaching the Cape of Good Hope in 1488 after sailing around the southern tip of Africa."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Captain James Cook,"A British explorer who traveled around the world, mapping out new territories and encountering indigenous peoples."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Ceuta,"A Spanish city on the north coast of Africa, an important point of entry into the Mediterranean and a major hub for trade."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Christopher Columbus,"Sailed across the Atlantic Ocean, making landfall on the island of Hispaniola and initiating European exploration and colonization of the Americas."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Columbian Exchange,"Refers to the transfer of plants, animals, diseases, and ideas between the Americas and Europe during the Age of Exploration, resulting in significant cultural, economic, and demographic changes."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,East India Company,"One of the largest and most powerful multinational corporations in the world from the 17th to 19th centuries, dominating the trade between Europe and Asia."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Ferdinand Magellan,"A Portuguese explorer who, with the help of the Spanish, sailed around the world in 1519-1522, proving that the Earth is round. He became the first to circumnavigate the globe."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Guanahani,"One of the five major islands in the West Indies, known for its fertile soil and gold mines."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Jan Pieterszoon Coen,"A Dutch painter from the 17th century known for his depiction of everyday life, particularly scenes of peasants and workers."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Joint-stock company,"A type of business structure where shareholders invest money, share profits and have limited liability."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Magnetic compass,"A device that uses the Earth's magnetic field to determine direction and is used by travelers, explorers, sailors, etc."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Manila,"The capital city of the Philippines, known for its historic sites such as Intramuros and the City Hall."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Manila galleons,Large ships carrying valuable cargo from Spain to Asia during the 16th and 17th centuries.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Miguel Lopez de Legazpi,Spanish explorer who led expeditions from 1570-1572 to claim and colonize the Philippines.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Prince Henry the Navigator,"A European monarch from Portugal who sponsored the exploration and discovery of new trade routes during the 15th century, which led to advancements in navigation, cartography, and commerce."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Sao Jorge da Mina,An island off the coast of Portugal known for its fortified city.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Seven Years' War,"(1756-1763) A global conflict between European powers that resulted in territorial shifts, economic disruptions, and diplomatic changes across continents."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Siberia,"Siberia is a region of Russia extending into other countries such as Mongolia, North Korea, and China, known for its cold climate and vast wilderness. It was once a major part of Russian Empire and is currently divided between several republics."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Taino,"Indigenous people of the Caribbean islands who lived from 500 BCE to 1500 CE and had various cultures, languages, and religions. They were enslaved by European explorers and faced disease and genocide."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Vasco da Gama,"Portuguese explorer who discovered the sea route from Europe to India, opening up global trade and colonization in the East."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,Vitus Bering,"A Russian explorer who led the first European expedition to discover Alaska and establish contact with its indigenous peoples, including the famous Aleut people. He is credited with discovering and naming several geographic features of Alaska, including Cape Prince of Wales and Bering Strait. Bering's expeditions significantly expanded Russian knowledge about the Pacific Northwest and opened up new opportunities for trade and colonization in the region."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 10: Transoceanic Encounters and Global Connections,VOC,A British trading company that played a significant role in the colonization and trade of India during the 17th and 18th centuries.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Absolutism,"A system of government where absolute power is held by a single ruler, with limited or no checks and balances."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Anglicans,Followers of the Church of England which was established in the 16th century during the English Reformation.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Calvinists,"People who followed the teachings of John Calvin, such as the Puritans in England during the 16th century."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Capitalism,"An economic system where private individuals own the means of production and engage in trade for profit, with limited government intervention."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Carolingian,"A cultural movement that occurred during the reigns of Charlemagne and his descendants, spreading Christianity throughout Europe and leaving a significant influence on art, architecture, and language."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Catherine the Great,"Born in 1729, was one of Russia's longest-reigning emperors and is credited with modernizing Russia by implementing a series of reforms to establish a centralized state."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Catholic Reformation,"A movement during the 16th century within Christianity that sought to reform the practices and beliefs of the Roman Catholic Church, led by figures such as Martin Luther and John Calvin."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Charles V,"A Holy Roman Emperor from 1519 to 1556, known for his military campaigns across Europe and his attempts at centralizing power under his rule."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Constitutional states,"A state where the government is created by the constitution, rather than by an individual or group of individuals."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Council of Trent,"A meeting of Catholic leaders held between 1545-1563 where they discussed and reformed many aspects of the Catholic Church, including doctrine and education."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Emilie du Chatelet,"A French mathematician, astronomer, and philosopher who lived during the 18th century. She is known for her pioneering work on probability theory and her advocacy for women's education in science and mathematics. Her contributions to these fields have had a lasting impact on modern mathematics and philosophy."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,English Civil War,"The civil war between the Royalists, who supported King Charles I, and the Parliamentarians, who wanted more political power and religious tolerance, lasted from 1642 to 1651. It ended with the execution of Charles I and the establishment of a republic, but also led to years of violence, disorder, and hardship for the English people."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Galileo Galilei,"An Italian scientist who made significant contributions to astronomy, physics, and mathematics by developing the telescope."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Glorious Revolution,"In 1688, England experienced a political upheaval that led to a peaceful change in government from an absolute monarchy to a constitutional monarchy."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Habsburgs,"A royal family who ruled over various parts of Europe, including Spain, Austria, and Hungary, from the 15th to the 19th century. They were known for their military prowess, cultural achievements, and political influence."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Isaac Newton,A renowned physicist and mathematician who made significant contributions to our understanding of physics through his laws of motion and universal gravitation.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Johannes Guten erg,"A German inventor from the 14th century, is credited with inventing the printing press, which revolutionized the spread of knowledge and information throughout Europe."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Johannes Kepler,"A 16th-century mathematician and astronomer who developed three laws of planetary motion, which describe how planets move around the sun."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Joint-stock companies,Companies where shareholders pool their capital.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Louis XIV,He was the King of France from 1643-1715 and is known as the Sun King.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Martin Luther,A German theologian who played a key role in the Protestant Reformation. Wrote the Ninety-five Theses.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Nicolaus Copernicus,"A Renaissance scientist who proposed that the Earth revolves around the Sun, contradicting the geocentric model popular at the time and laying the foundation for modern astronomy."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Ninety-Five Theses,"A document written by Martin Luther criticizing the practices of the Catholic Church, sparking the Protestant Reformation."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Peace of Westphalia,"Concluded in 1648, ended centuries of religious conflicts and established principles such as sovereignty, non-interference, and state recognition."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Peter the Great,"A Russian tsar who modernized Russia by implementing Western-style reforms, expanding Russia's navy and military power, and promoting education and culture."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Protestant Reformation,"A period of religious upheaval in Europe from the 16th century to the 17th century, marked by the establishment of new Christian denominations and the dissolution of the Roman Catholic Church's authority."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Protoindustrialization,"Transition from traditional agricultural societies to industrial ones, characterized by some elements of industry and manufacturing but primarily remaining agrarian. It represents an intermediate stage between pre-modern society and full-blown industrialization."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Ptolemaic universe,"The geocentric model of the solar system proposed by ancient Greek astronomer Claudius Ptolemy, which dominated scientific thought until the 16th century."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Richelieu,"A French statesman who was a close advisor to King Louis XIV, known for his influence on foreign policy and promotion of absolute monarchy."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Romanov,"A powerful Russian royal family that ruled from 1721 until 1917, known as the last dynasty of ancient Russia and the Russian Empire."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Scientific revolution,"A period during which there is a radical shift in scientific understanding and practice, often marked by advancements in technology and new methods of experimentation and analysis. It is characterized by a departure from traditional beliefs and practices, with new ideas and theories being proposed and tested through empirical evidence."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Serfdom,"A system of feudal labor, in which peasants or serfs were bound to work on the land owned by lords and had limited freedom."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Society of Jesus,"A religious order within Christianity, also known as the Society of Jesus, that played a significant role in education and missionary work throughout history."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Spanish Inquisition,"A period of religious persecution and forced conversion during the 15th and 16th centuries. It aimed to eliminate heresy and maintain Catholic control over Spain. This led to the torture, execution, and expulsion of Jews and Muslims who were seen as heretics by the authorities."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,St. Ignatius of Loyola,A Catholic saint and founder of the Society of Jesus also known as Jesuits.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Thirty Years' War,"A conflict (1618-1648) between European powers, primarily for control over the Holy Roman Empire."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Witch-hunts,Mass hysteria resulting in persecution of individuals accused of practicing witchcraft.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 11: The Transformation of Europe,Yemelian Pugachev,"A Cossack who led a rebellion against the Russian government in 1773-1774. He is often credited with starting the Pugachev's Rebellion, which aimed to overthrow the Tsarist regime and establish an independent republic."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Atahualpa,The Inca emperor who ruled Peru until he was captured by Spanish conquistadors.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Audiencias,"Spanish court sed by European colonizers in Latin America to control and suppress indigenous populations through violence, propaganda, and forced labor."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Brazil,"South America's largest country,known for its vibrant culture, stunning landscapes, and rich biodiversity."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Conquistadors,"Spanish explorers who conquered indigenous peoples and claimed territories in America, known for their brutality and exploitation."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Criollos,"The people of Spanish descent who were born or lived in the Americas, regardless of their racial background."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Dona Marina,"A Roman Catholic nun who became the Queen of Portugal, reigning from 1461-1492. She is known for her lavish lifestyle and patronage of the arts, which contributed to the flourishing of Portuguese culture during her reign. Her life story is an inspiration for many women in history and beyond."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Encomienda,"The Spanish colonization of the Americas, where European colonizers exploited Native American labor and resources, granting them control over indigenous territories."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Epidemic disease,"An outbreak of a contagious disease that affects a large number of people in a region or country, often resulting in high death rates and severe economic impact."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Francisco Pizarro,An 18th-century Spanish explorer who led the conquest of Peru which led to the fall of the Inca Empire.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Fur Trade,"An extensive global commercial system that involved the buying, selling, and trading of furs between various countries during the 16th-18th centuries. It contributed to economic growth but had devastating impacts on Indigenous populations and their way of life."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Hacienda,"A large estate or farm owned by a single person, typically in another country, and used to exploit workers and resources."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Herman Cortes,"A Spanish conquistador who fought against other European powers and established colonies in the Americas, including Mexico City."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Indentured labor,"Labor that is contracted out on a temporary basis with payment of room, board, and passage as compensation; usually performed by individuals who are seeking to enter or leave a country."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,James Cook,"An English explorer who visited Australia, New Zealand, and other parts of the Pacific Ocean in the late 18th century."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Malintzin,"In Spanish, refers to a powerful spirit that was believed to be associated with water and it held great religious significance among indigenous peoples. It was often used as a tool of communication with spirits."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Manila galleons,"Large ships used by Spain to trade goods between Asia and Latin America, including silver from Peru and other valuable resources."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Mestizo,"A person of mixed European and Native American ancestry, usually from Latin America. They are often considered an important part of the cultural heritage of these regions."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Metis,"A mixed-race, semi-nomadic group originating from indigenous communities in North America that were influenced by European settlers and the fur trade. They have their own distinct culture and language and reside primarily in Canada, as well as parts of the United States."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Mita system,A Japanese government policy during the Edo period which encouraged people to remain in rural areas and contribute to the growth of their local communities.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Motecuzoma II,"An Aztec ruler who reigned from 1374 to 1428, known for expanding and consolidating his empire through strategic alliances and military campaigns."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Nahuatl,A language spoken by indigenous people of central Mexico that influenced Spanish.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,New Spain,"The name given to the area of modern-day Mexico, Central America, and parts of South America under Spanish rule during the 16th and 17th centuries."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Peninsulares,"Spanish colonizers who ruled over the colonies in the Americas during the 16th and 17th centuries, enforcing their language and culture on the indigenous populations."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Potosi,"The capital city of the Bolivian empire in the 16th century, known for its wealth and abundance of silver mines."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Smallpox,"A disease caused by the Variola virus characterized by fever, fatigue, muscle aches, and a rash of pus-filled blisters that can be deadly if left untreated."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Taino,The indigenous people of the Caribbean islands who were conquered by European colonizers and forced into slavery.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Tenochtitlan,"Capital of the Aztec Empire, located on an island in Lake Texcoco in what is now Mexico City. It was known for its advanced city planning and sophisticated architecture, with many of its structures still standing today as a testament to its importance in history."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Terra australis incognita,"An unknown territory or region to the European explorers, discovered by Captain James Cook in 1770."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Virgin of Guadalupe,"An image or sculpture of the Virgin Mary created by indigenous Mexican artisans, depicting her as a Native American woman. The image is often associated with Mexico and its religious significance."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Zacatecas,"A state located in Mexico known for its rich mineral resources and historical significance, including the famous city of Zacatecas City."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 12: The Integration of the Americas and Oceania with the Wider World,Zambos,A group of African people who migrated from East Africa into Southern Europe during the late 11th and early 12th centuries.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,African diaspora,"Refers to the dispersion of people of African descent across the world, influenced by the transatlantic slave trade and subsequent migration."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Angola,"A country in Southern Africa bordered by Zambia, Namibia, Democratic Republic of Congo, and Cabo Verde, known for its diverse cultures, wildlife, and history."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Antonian movement,"The political and religious reform movements in Italy during the Renaissance, inspired by St. Francis of Assisi, which sought to address social inequalities and promote peace and non-violence."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Asante,"A Ghanaian-derived term that means ""I am proud"" or ""I have done something significant."" Refers to an ancient Ashanti kingdom and its people."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Atlantic slave trade,Transmitting African slaves across the Atlantic Ocean during the 16th-19th centuries.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Creole language,"A mixture of languages that evolved from a pidgin, which is a simplified form of communication between people who do not share a common language. It is usually spoken by children of mixed parentage and has its own grammar, vocabulary, and pronunciation."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Fulani,"A West African ethnic group, primarily of pastoralist traditions, known for their use of the horse and their role in spreading Islam throughout the region."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Geechee,"Enslaved Africans who worked in North Carolina during the colonial period, often as sharecroppers and laborers on plantations. They maintained their cultural identity through music, dance, religion, and language, despite centuries of oppression and assimilation. The word is derived from a term used by white people to refer to the enslaved Africans who worked in their fields or homes."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Ghana,"A West African country known for its rich cultural heritage, vibrant music scene, and bustling markets. It played an important role as a center of the trans-Saharan trade during ancient times."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Great Zimbabwe,"A city-state located in present-day Zimbabwe, known for its impressive stone structures and rich history of trade and commerce."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Gullah,"An English language dialect spoken by descendants of African slaves in coastal South Carolina and Georgia, with influences from West African languages."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Haiti,"An island country located in the Caribbean, known for its history of colonization and struggle against slavery."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Khoikhoi,"An ancient, nomadic group of indigenous people who inhabited Southern Africa and interacted with Europeans during the era of exploration and colonization."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,King Nzingo Mbemba,A Zulu king who ruled over much of southern Africa during the 19th century and is known for his military prowess.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Kongo,A powerful kingdom in Central Africa that existed from 1534 to 1885 and left behind an enduring cultural legacy.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Mali Empire,"An empire established by the Tuareg people that lasted from the 13th to 16th centuries, known for its wealth and trade routes across West Africa."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Manioc,"A starchy root vegetable that grows underground, widely consumed as a staple food and used to make flour, beer, and other products. It has been important in African, South American, and Caribbean cuisines for centuries."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Middle passage,The transatlantic slave trade in which African slaves were forcibly transported from Africa to the Americas during the 16th to 19th centuries.
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Ndongo,"In 1776, Ndongo became a Portuguese colony. It was later ruled by French and British forces before gaining independence as an independent country in 1964."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Olaudah Equiano,"A prominent African writer who was enslaved and later fought against slavery, becoming an advocate for abolitionism. He played a crucial role in raising awareness about the inhumanity of the transatlantic slave trade through his autobiography."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Plantations,"Large-scale agricultural estates established by European powers, often employing enslaved labor, and played a significant role in the economic systems of colonial societies."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Queen Nzinga,"A powerful African queen who ruled as a sovereign in Angola and neighboring countries during the 16th century. She led her people to victory against Portuguese colonialism, despite being outnumbered and outgunned. Her legacy of resilience and leadership continues to inspire many today."
Part 2: Land-Based Empires and Transoceanic Empires (1450-1750),Chapter 13: Africa and the Atlantic World,Saint-Domingue,"A French colony in the Caribbean that became the center of the Atlantic slave trade before the Haitian Revolution in 1791, which resulted in Haiti becoming the first black republic in the Western Hemisphere."
